id,centroid_lon,centroid_lat,area_m2,equivalent_diameter_m,perimeter_m,eccentricity,solidity,touches_edge,height_m,shadow_length_m,height_reason,confidence,confidence_bucket,signal_shape,signal_size,signal_separation,signal_shadow,detector_score
21,-5.9509549,39.931552,15.308,4.415,13.597,0.4887,0.9359,False,,,unavailable,0.8031,high,1.0,0.5402,0.8298,0.0,
22,-5.9483661,39.9315538,15.937,4.505,15.288,0.7305,0.8837,False,,,unavailable,0.8016,high,0.8569,0.8938,0.6429,0.0,
23,-5.9510324,39.9315404,11.953,3.901,11.592,0.612,0.9828,False,,,unavailable,0.843,high,1.0,0.7932,0.7043,0.0,
24,-5.950078,39.9315333,104.847,11.554,43.638,0.6007,0.8865,False,,,unavailable,0.4481,low,0.6919,0.0,0.6037,0.0,
25,-5.9482933,39.931531,15.308,4.415,15.35,0.2814,0.8202,False,,,unavailable,0.7961,high,0.8164,0.9455,0.6224,0.0,
26,-5.9482635,39.9315264,5.452,2.635,8.007,0.8342,0.9286,False,,,unavailable,0.5249,medium,1.0,0.132,0.3476,0.0,
27,-5.950968,39.9315247,8.807,3.349,10.944,0.8065,0.913,False,,,unavailable,0.6691,medium,0.924,0.6454,0.3868,0.0,
28,-5.9495156,39.9315208,3.145,2.001,5.717,0.8215,0.9375,False,,,unavailable,0.7445,high,1.0,0.7248,0.4576,0.0,
29,-5.9495759,39.9315142,2.516,1.79,4.69,0.795,1.0,False,,,unavailable,0.7404,high,1.0,0.6576,0.5117,0.0,
30,-5.9483507,39.9315181,13.001,4.069,13.613,0.7208,0.8857,False,,,unavailable,0.7721,high,0.8816,0.7763,0.6367,0.0,
31,-5.9517429,39.9315071,3.145,2.001,5.449,0.5585,1.0,False,,,unavailable,0.7292,high,1.0,0.4861,0.6472,0.0,
32,-5.9517028,39.9315073,10.904,3.726,11.592,0.6423,0.9811,False,,,unavailable,0.7829,high,1.0,0.8136,0.4916,0.0,
33,-5.9509227,39.9314933,14.259,4.261,14.83,0.7977,0.9067,False,,,unavailable,0.7312,high,0.8148,0.7542,0.6079,0.0,
34,-5.9496096,39.9314914,26.631,5.823,24.937,0.7425,0.784,False,,,unavailable,0.3644,low,0.5382,0.0484,0.4718,0.0,
35,-5.9509436,39.9314697,9.227,3.427,10.297,0.6304,0.9565,False,,,unavailable,0.7994,high,1.0,0.7607,0.5975,0.0,
36,-5.9513975,39.9315179,126.445,12.688,54.393,0.5164,0.859,False,,,unavailable,0.2518,low,0.5371,0.0,0.1614,0.0,
37,-5.9508752,39.931463,19.082,4.929,18.303,0.7312,0.8505,False,,,unavailable,0.4326,low,0.7158,0.0,0.5255,0.0,
38,-5.951217,39.9314681,10.485,3.654,11.323,0.4406,0.9434,False,,,unavailable,0.8389,high,1.0,0.9831,0.5013,0.0,
39,-5.9501976,39.9314625,23.066,5.419,20.011,0.5977,0.8527,False,,,unavailable,0.6188,medium,0.7239,0.6334,0.478,0.0,
40,-5.9495654,39.9314648,20.55,5.115,16.092,0.5561,0.9515,False,,,unavailable,0.6938,medium,0.9972,0.2852,0.7382,0.0,
41,-5.9485444,39.9314561,6.92,2.968,9.112,0.7481,0.9706,False,,,unavailable,0.6812,medium,1.0,0.5435,0.4363,0.0,
42,-5.9517938,39.931458,2.307,1.714,4.69,0.803,1.0,True,,,unavailable,0.6739,medium,1.0,0.422,0.5344,0.0,
43,-5.9485942,39.9314526,9.856,3.542,10.866,0.4891,0.94,False,,,unavailable,0.88,high,1.0,0.8849,0.7313,0.0,
44,-5.9496209,39.9314557,7.759,3.143,11.055,0.8093,0.8605,False,,,unavailable,0.709,high,0.7977,0.8996,0.4121,0.0,
45,-5.9509239,39.93145,8.388,3.268,10.676,0.695,0.9302,False,,,unavailable,0.7348,high,0.9248,0.9615,0.2802,0.0,
46,-5.9494414,39.9314437,21.598,5.244,15.903,0.4275,0.981,False,,,unavailable,0.6065,medium,1.0,0.0,0.741,0.0,
47,-5.9486798,39.9314337,31.244,6.307,23.563,0.687,0.8663,False,,,unavailable,0.4467,low,0.7072,0.0,0.5808,0.0,
48,-5.9495164,39.9314386,6.5,2.877,8.465,0.7796,0.9688,False,,,unavailable,0.8142,high,1.0,0.7689,0.6367,0.0,
49,-5.9494902,39.9314392,7.339,3.057,9.727,0.629,0.8974,False,,,unavailable,0.7671,high,0.9747,0.8613,0.4237,0.0,
50,-5.9510724,39.9314318,17.614,4.736,15.098,0.5868,0.9438,False,,,unavailable,0.5553,medium,0.971,0.0,0.6116,0.0,
51,-5.9483868,39.9314333,16.775,4.622,13.803,0.4637,0.9877,False,,,unavailable,0.8581,high,1.0,0.7532,0.7927,0.0,
52,-5.9517317,39.931429,11.533,3.832,12.239,0.5567,0.9322,False,,,unavailable,0.8234,high,0.9675,0.7569,0.717,0.0,
53,-5.9508787,39.9314305,6.081,2.783,9.381,0.8975,0.9355,False,,,unavailable,0.6805,medium,0.8684,0.8062,0.3291,0.0,
54,-5.9505099,39.9314258,15.937,4.505,17.577,0.6234,0.8444,False,,,unavailable,0.4863,medium,0.6482,0.4909,0.2875,0.0,
55,-5.9504092,39.9314296,124.139,12.572,46.922,0.5538,0.9178,False,,,unavailable,0.5202,medium,0.7085,0.0,0.8145,0.0,
56,-5.9497639,39.9314182,6.5,2.877,8.465,0.8782,0.9118,False,,,unavailable,0.8071,high,1.0,0.9325,0.4502,0.0,
57,-5.9495453,39.9314234,15.727,4.475,15.477,0.6599,0.8824,False,,,unavailable,0.6164,medium,0.825,0.3353,0.6472,0.0,
58,-5.9485418,39.9314254,15.517,4.445,13.803,0.4745,0.9737,False,,,unavailable,0.8778,high,1.0,0.7848,0.8242,0.0,
59,-5.9508017,39.931418,3.145,2.001,4.801,0.7217,0.9375,False,,,unavailable,0.7314,high,1.0,0.6829,0.4576,0.0,
60,-5.9505596,39.9314146,15.517,4.445,17.182,0.5845,0.7872,False,,,unavailable,0.5827,medium,0.6605,0.4891,0.5828,0.0,
61,-5.948648,39.9314099,2.936,1.933,5.606,0.7879,1.0,False,,,unavailable,0.6933,medium,1.0,0.5448,0.4737,0.0,
62,-5.9494964,39.9314116,11.323,3.797,12.508,0.4232,0.9153,False,,,unavailable,0.852,high,0.9096,0.9527,0.6822,0.0,
63,-5.951682,39.9314083,11.743,3.867,11.592,0.4285,0.9655,False,,,unavailable,0.8171,high,1.0,0.7448,0.6699,0.0,
64,-5.9510292,39.9314031,13.42,4.134,12.887,0.5205,0.9552,False,,,unavailable,0.7483,high,1.0,0.5299,0.6647,0.0,
65,-5.9504814,39.9313979,7.968,3.185,9.492,0.4074,0.95,False,,,unavailable,0.7512,high,1.0,0.561,0.6429,0.0,
66,-5.9485883,39.9314062,11.743,3.867,12.619,0.5596,0.918,False,,,unavailable,0.7909,high,0.9267,0.9452,0.4737,0.0,
67,-5.9517342,39.9314011,8.807,3.349,10.676,0.4955,0.9333,False,,,unavailable,0.8597,high,0.971,0.9743,0.6116,0.0,
68,-5.9498215,39.9313933,7.13,3.013,10.424,0.7809,0.8718,False,,,unavailable,0.6837,medium,0.8245,0.8945,0.304,0.0,
69,-5.9497541,39.9313881,3.774,2.192,6.365,0.8257,0.9474,False,,,unavailable,0.7192,high,1.0,0.6835,0.4178,0.0,
70,-5.9495375,39.9313891,5.871,2.734,8.576,0.8133,0.9032,False,,,unavailable,0.7208,high,1.0,0.6328,0.4737,0.0,
71,-5.9490573,39.9313908,5.033,2.531,8.039,0.8743,0.96,False,,,unavailable,0.734,high,0.9785,0.6628,0.5117,0.0,
72,-5.9515387,39.9313868,99.814,11.273,40.446,0.679,0.9261,False,,,unavailable,0.5216,medium,0.7667,0.0,0.749,0.0,
73,-5.9510939,39.9313844,9.646,3.505,11.592,0.626,0.8846,False,,,unavailable,0.8001,high,0.9021,0.955,0.5227,0.0,
74,-5.9510608,39.9313849,8.597,3.309,11.402,0.5602,0.82,False,,,unavailable,0.7061,high,0.831,0.8707,0.3915,0.0,
75,-5.9505435,39.9313818,9.227,3.427,11.055,0.8048,0.9167,False,,,unavailable,0.7964,high,0.9487,0.8127,0.5975,0.0,
76,-5.9496528,39.9313803,12.162,3.935,12.887,0.591,0.9206,False,,,unavailable,0.7149,high,0.9203,0.6629,0.5204,0.0,
77,-5.9504756,39.9313707,10.904,3.726,13.44,0.7859,0.8254,False,,,unavailable,0.7609,high,0.7586,0.975,0.5496,0.0,
78,-5.9504348,39.931367,11.323,3.797,12.887,0.7718,0.871,False,,,unavailable,0.7816,high,0.8568,0.9907,0.4824,0.0,
79,-5.9509455,39.9313666,8.597,3.309,11.513,0.837,0.8367,False,,,unavailable,0.789,high,0.8151,0.9932,0.5536,0.0,
80,-5.9505886,39.9313697,11.743,3.867,12.887,0.5837,0.875,False,,,unavailable,0.8316,high,0.8886,0.925,0.6699,0.0,
81,-5.950172,39.9313641,11.323,3.797,13.535,0.6469,0.871,False,,,unavailable,0.8038,high,0.7768,0.9577,0.6822,0.0,
82,-5.9498478,39.9313663,12.791,4.036,12.508,0.5341,0.9531,False,,,unavailable,0.6273,medium,1.0,0.3535,0.4539,0.0,
83,-5.9496241,39.9313655,7.759,3.143,10.597,0.8484,0.8605,False,,,unavailable,0.6137,medium,0.8682,0.51,0.4121,0.0,
84,-5.9495061,39.9313633,9.436,3.466,12.239,0.5518,0.8491,False,,,unavailable,0.7236,high,0.7916,0.8372,0.5284,0.0,
85,-5.9505152,39.9313669,13.001,4.069,14.83,0.6586,0.7561,False,,,unavailable,0.7099,high,0.7429,0.7436,0.6367,0.0,
86,-5.9501404,39.9313583,7.339,3.057,9.459,0.7926,0.9211,False,,,unavailable,0.8341,high,1.0,0.8698,0.5992,0.0,
87,-5.9493947,39.9313638,10.694,3.69,11.055,0.6316,0.9808,False,,,unavailable,0.8928,high,1.0,0.955,0.702,0.0,
88,-5.9495784,39.9313566,13.63,4.166,12.887,0.614,0.9286,False,,,unavailable,0.7817,high,1.0,0.8098,0.4916,0.0,
89,-5.9511262,39.9313582,5.033,2.531,8.576,0.9333,0.8889,False,,,unavailable,0.5617,medium,0.8599,0.4037,0.3618,0.0,
90,-5.9501157,39.9313582,2.726,1.863,5.338,0.7526,1.0,False,,,unavailable,0.7327,high,1.0,0.6529,0.4916,0.0,
91,-5.9505407,39.9313443,10.904,3.726,11.814,0.5281,0.963,False,,,unavailable,0.8862,high,0.9818,0.9626,0.6952,0.0,
92,-5.9509691,39.9313451,2.307,1.714,4.422,0.7475,1.0,False,,,unavailable,0.7103,high,1.0,0.5385,0.5344,0.0,
93,-5.9484282,39.931342,27.68,5.937,19.899,0.601,0.9231,False,,,unavailable,0.5282,medium,0.8784,0.0,0.6361,0.0,
94,-5.9504801,39.9313395,11.533,3.832,12.714,0.6993,0.8333,False,,,unavailable,0.7917,high,0.8967,0.9231,0.5344,0.0,
95,-5.9495381,39.9313378,10.694,3.69,11.765,0.545,0.9107,False,,,unavailable,0.8643,high,0.9709,0.8988,0.702,0.0,
96,-5.949494,39.931333,18.453,4.847,15.634,0.3004,0.9462,False,,,unavailable,0.6227,medium,0.9487,0.0983,0.7558,0.0,
97,-5.950195,39.9313339,12.582,4.002,12.887,0.6837,0.9091,False,,,unavailable,0.8413,high,0.952,0.8633,0.6865,0.0,
98,-5.9497153,39.9313244,14.679,4.323,16.236,0.3304,0.8333,False,,,unavailable,0.5666,medium,0.6997,0.4997,0.4737,0.0,
99,-5.9505092,39.9313259,5.662,2.685,8.197,0.8025,0.931,False,,,unavailable,0.6339,medium,1.0,0.346,0.4824,0.0,
100,-5.9501225,39.9313273,17.195,4.679,15.366,0.7488,0.9318,False,,,unavailable,0.7729,high,0.9151,0.6693,0.7057,0.0,
101,-5.9482112,39.9313223,7.13,3.013,10.833,0.901,0.8718,True,,,unavailable,0.5581,medium,0.7634,0.5659,0.304,0.0,
102,-5.9510055,39.9313153,12.372,3.969,13.724,0.6919,0.8551,False,,,unavailable,0.7244,high,0.8254,0.8117,0.516,0.0,
103,-5.9483762,39.9313128,13.001,4.069,12.239,0.5166,0.9688,False,,,unavailable,0.8682,high,1.0,0.9029,0.6753,0.0,
104,-5.9495679,39.9313084,11.953,3.901,11.592,0.5347,0.9661,False,,,unavailable,0.8759,high,1.0,0.8987,0.7043,0.0,
105,-5.951663,39.9313018,4.404,2.368,6.633,0.6875,1.0,False,,,unavailable,0.8192,high,1.0,0.8745,0.547,0.0,
106,-5.9498574,39.9312994,2.097,1.634,4.154,0.6164,1.0,False,,,unavailable,0.7305,high,1.0,0.577,0.5605,0.0,
107,-5.9514061,39.9312903,2.516,1.79,4.801,0.7676,1.0,False,,,unavailable,0.7529,high,1.0,0.6977,0.5117,0.0,
108,-5.9509741,39.9312861,17.824,4.764,17.577,0.8391,0.85,False,,,unavailable,0.5418,medium,0.725,0.4793,0.3845,0.0,
109,-5.9502795,39.9312924,2.307,1.714,4.422,0.7559,1.0,False,,,unavailable,0.6157,medium,1.0,0.2357,0.5344,0.0,
110,-5.9487182,39.9312836,26.421,5.8,24.21,0.8345,0.7975,False,,,unavailable,0.3228,low,0.5664,0.0,0.3531,0.0,
111,-5.9485229,39.9312882,9.017,3.388,10.944,0.3837,0.9149,False,,,unavailable,0.8073,high,0.946,0.8439,0.6044,0.0,
112,-5.9495908,39.931282,12.372,3.969,13.44,0.7288,0.831,False,,,unavailable,0.7639,high,0.8607,0.8956,0.516,0.0,
113,-5.9483295,39.9312811,11.114,3.762,11.323,0.6059,0.9636,False,,,unavailable,0.8905,high,1.0,0.9609,0.6886,0.0,
114,-5.9510244,39.9312802,17.405,4.707,14.719,0.5439,0.954,False,,,unavailable,0.6182,medium,1.0,0.0,0.7782,0.0,
115,-5.9509414,39.9312789,5.452,2.635,8.37,0.8648,0.8966,False,,,unavailable,0.7343,high,0.978,0.8287,0.3476,0.0,
116,-5.9507131,39.9312741,12.791,4.036,12.429,0.5265,0.9385,False,,,unavailable,0.8589,high,1.0,0.9065,0.6419,0.0,
117,-5.9509672,39.931265,4.404,2.368,7.438,0.6228,0.913,False,,,unavailable,0.7437,high,1.0,0.793,0.3868,0.0,
118,-5.9502441,39.9312745,5.242,2.584,7.928,0.837,0.9615,False,,,unavailable,0.7062,high,1.0,0.7054,0.3545,0.0,
119,-5.9486744,39.9312634,3.984,2.252,6.238,0.8215,0.95,False,,,unavailable,0.7419,high,1.0,0.7674,0.4066,0.0,
120,-5.9485861,39.9312738,11.533,3.832,11.323,0.6372,1.0,False,,,unavailable,0.8844,high,1.0,0.9542,0.676,0.0,
121,-5.9506026,39.931266,12.582,4.002,12.239,0.3886,0.9524,False,,,unavailable,0.8682,high,1.0,0.8918,0.6865,0.0,
122,-5.9496592,39.9312564,17.614,4.736,18.035,0.8353,0.875,False,,,unavailable,0.4424,low,0.6805,0.3255,0.2735,0.0,
123,-5.9506494,39.9312549,27.26,5.891,23.072,0.7734,0.8497,False,,,unavailable,0.4356,low,0.6435,0.0,0.6218,0.0,
124,-5.9495707,39.9312574,7.549,3.1,10.139,0.7779,0.9,False,,,unavailable,0.706,high,0.9227,0.7343,0.4178,0.0,
125,-5.9487024,39.9312523,7.339,3.057,9.839,0.7323,0.875,False,,,unavailable,0.8074,high,0.9528,0.8413,0.5992,0.0,
126,-5.9498904,39.9312572,2.307,1.714,4.138,0.826,0.8462,False,,,unavailable,0.6051,medium,1.0,0.7364,0.0,0.0,
127,-5.9497711,39.9312585,4.613,2.424,6.79,0.6107,1.0,False,,,unavailable,0.7184,high,1.0,0.5644,0.5344,0.0,
128,-5.950816,39.9312992,153.915,13.999,59.698,0.7146,0.8865,False,,,unavailable,0.2492,low,0.5427,0.0,0.1463,0.0,
129,-5.9485479,39.9312431,25.163,5.66,23.468,0.8549,0.8571,False,,,unavailable,0.3413,low,0.5741,0.0412,0.3618,0.0,
130,-5.9507002,39.931244,11.533,3.832,11.971,0.5743,0.9322,False,,,unavailable,0.87,high,1.0,0.908,0.676,0.0,
131,-5.950454,39.9312433,6.92,2.968,9.587,0.8937,0.825,False,,,unavailable,0.6847,medium,0.9462,0.7471,0.3085,0.0,
132,-5.9513884,39.9312314,53.472,8.251,31.334,0.5407,0.8673,False,,,unavailable,0.3997,low,0.6844,0.0,0.4576,0.0,
133,-5.9496188,39.9312413,11.323,3.797,12.082,0.5638,0.9474,False,,,unavailable,0.7699,high,0.9748,0.8115,0.4824,0.0,
134,-5.9487777,39.9312315,119.316,12.325,46.543,0.6319,0.8989,False,,,unavailable,0.451,medium,0.6921,0.0,0.6127,0.0,
135,-5.9499536,39.9312246,18.663,4.875,14.987,0.5562,0.9674,False,,,unavailable,0.8119,high,1.0,0.6467,0.7515,0.0,
136,-5.9498777,39.9312241,37.955,6.952,26.405,0.6435,0.8303,False,,,unavailable,0.4624,medium,0.6841,0.0,0.6587,0.0,
137,-5.9507825,39.9312178,8.807,3.349,11.608,0.8416,0.84,False,,,unavailable,0.6911,medium,0.8214,0.6788,0.547,0.0,
138,-5.9497828,39.9312275,19.501,4.983,20.057,0.8444,0.7881,False,,,unavailable,0.5663,medium,0.6092,0.67,0.411,0.0,
139,-5.9485408,39.9312177,5.452,2.635,8.308,0.3042,0.9286,False,,,unavailable,0.7468,high,0.9927,0.707,0.4916,0.0,
140,-5.9507627,39.9312011,11.533,3.832,11.971,0.6853,0.9322,False,,,unavailable,0.89,high,1.0,0.9719,0.676,0.0,
141,-5.9495601,39.9312014,3.774,2.192,5.986,0.7717,1.0,False,,,unavailable,0.7567,high,1.0,0.6306,0.5908,0.0,
142,-5.9489738,39.9312017,8.597,3.309,10.028,0.734,0.9535,False,,,unavailable,0.7216,high,1.0,0.5555,0.5536,0.0,
143,-5.9508203,39.931197,4.194,2.311,6.823,0.6652,0.9091,False,,,unavailable,0.6719,medium,1.0,0.3897,0.5605,0.0,
144,-5.9499523,39.9311927,9.017,3.388,11.118,0.716,0.8958,False,,,unavailable,0.7977,high,0.9167,0.912,0.5406,0.0,
145,-5.951793,39.9311901,3.355,2.067,6.254,0.8938,1.0,True,,,unavailable,0.7454,high,1.0,0.7421,0.4431,0.0,
146,-5.9499136,39.9311899,9.646,3.505,11.876,0.5436,0.902,False,,,unavailable,0.8276,high,0.8594,0.8778,0.7392,0.0,
147,-5.9504597,39.9311796,5.452,2.635,8.197,0.731,0.8667,False,,,unavailable,0.6524,medium,1.0,0.5401,0.3476,0.0,
148,-5.9496942,39.9311849,9.436,3.466,11.592,0.6716,0.8654,False,,,unavailable,0.7778,high,0.8825,0.9016,0.5284,0.0,
149,-5.9493681,39.931185,4.404,2.368,6.633,0.5458,0.9545,False,,,unavailable,0.7774,high,1.0,0.7406,0.547,0.0,
150,-5.9495605,39.9311783,5.452,2.635,7.817,0.6587,0.8966,False,,,unavailable,0.7635,high,1.0,0.7515,0.4916,0.0,
151,-5.9498922,39.9311732,9.227,3.427,11.435,0.8209,0.9167,False,,,unavailable,0.7678,high,0.8868,0.8583,0.5344,0.0,
152,-5.9506294,39.93117,12.372,3.969,13.646,0.4848,0.9077,False,,,unavailable,0.8261,high,0.8349,0.9888,0.6527,0.0,
153,-5.9496159,39.9311638,7.759,3.143,9.381,0.573,0.9487,False,,,unavailable,0.845,high,1.0,0.9214,0.5828,0.0,
154,-5.9484405,39.9311698,10.904,3.726,11.703,0.6542,0.9455,False,,,unavailable,0.8126,high,1.0,0.8508,0.5496,0.0,
155,-5.9498148,39.9311644,14.049,4.229,13.708,0.467,0.9178,False,,,unavailable,0.682,medium,0.9396,0.37,0.6848,0.0,
156,-5.9494706,39.931156,4.194,2.311,7.281,0.8255,0.7692,False,,,unavailable,0.6988,medium,0.9942,0.6467,0.3963,0.0,
157,-5.950329,39.9311577,11.114,3.762,12.239,0.6956,0.9138,False,,,unavailable,0.7277,high,0.9323,0.5213,0.6886,0.0,
158,-5.9497731,39.9311573,10.485,3.654,12.239,0.7459,0.8475,False,,,unavailable,0.7792,high,0.8795,0.9367,0.5013,0.0,
159,-5.9489079,39.9311525,10.065,3.58,11.055,0.7271,0.9796,False,,,unavailable,0.8434,high,1.0,0.7752,0.7236,0.0,
160,-5.9483992,39.9311573,5.662,2.685,8.576,0.8122,0.9,False,,,unavailable,0.6714,medium,0.9674,0.6464,0.3411,0.0,
161,-5.9504518,39.9311511,8.597,3.309,10.944,0.6519,0.7736,False,,,unavailable,0.8065,high,0.902,0.8795,0.619,0.0,
162,-5.948955,39.9311504,6.5,2.877,8.955,0.7799,0.9394,False,,,unavailable,0.6215,medium,1.0,0.3387,0.4502,0.0,
163,-5.9515589,39.9311422,5.033,2.531,7.012,0.0,1.0,False,,,unavailable,0.8415,high,1.0,0.9813,0.5117,0.0,
164,-5.9504924,39.9311562,15.098,4.384,18.257,0.8273,0.766,False,,,unavailable,0.4879,medium,0.5692,0.4604,0.4178,0.0,
165,-5.9504326,39.931135,7.549,3.1,9.76,0.7613,0.9231,False,,,unavailable,0.8003,high,0.9959,0.7751,0.5908,0.0,
166,-5.9502032,39.9311316,6.5,2.877,8.733,0.7529,0.9394,False,,,unavailable,0.7579,high,1.0,0.7752,0.4502,0.0,
167,-5.9489795,39.9311326,13.63,4.166,13.077,0.2071,0.942,False,,,unavailable,0.8345,high,1.0,0.7752,0.6952,0.0,
168,-5.9507932,39.931125,8.388,3.268,11.166,0.5292,0.8,False,,,unavailable,0.7412,high,0.8453,0.9613,0.3963,0.0,
169,-5.9503876,39.9311272,14.049,4.229,13.266,0.4186,0.9437,False,,,unavailable,0.7608,high,1.0,0.6219,0.6125,0.0,
170,-5.9489425,39.9311189,12.162,3.935,11.703,0.6453,0.9831,False,,,unavailable,0.8628,high,1.0,0.9026,0.6583,0.0,
171,-5.9485221,39.9310959,46.762,7.716,27.985,0.4574,0.878,False,,,unavailable,0.4811,medium,0.7503,0.0,0.6392,0.0,
172,-5.9502429,39.9311134,23.486,5.468,19.978,0.7088,0.8485,False,,,unavailable,0.5018,medium,0.7395,0.0484,0.6699,0.0,
173,-5.9494728,39.9311137,7.549,3.1,10.028,0.7342,0.878,False,,,unavailable,0.6883,medium,0.9433,0.7752,0.2954,0.0,
174,-5.950652,39.9311,12.372,3.969,11.86,0.5772,0.9672,False,,,unavailable,0.7421,high,1.0,0.4823,0.6923,0.0,
175,-5.9486961,39.9311005,15.727,4.475,15.746,0.7871,0.8929,False,,,unavailable,0.6918,medium,0.7971,0.8479,0.4093,0.0,
176,-5.9483346,39.9310934,32.922,6.474,22.11,0.668,0.9023,False,,,unavailable,0.6413,medium,0.8462,0.4364,0.6002,0.0,
177,-5.9496914,39.9310898,7.339,3.057,9.492,0.7286,0.8974,False,,,unavailable,0.8153,high,1.0,0.8097,0.5992,0.0,
178,-5.9495968,39.9310878,9.856,3.542,11.055,0.5884,0.94,False,,,unavailable,0.7481,high,1.0,0.6767,0.5171,0.0,
179,-5.950189,39.9310884,32.712,6.454,21.999,0.3807,0.9176,False,,,unavailable,0.5402,medium,0.8494,0.0,0.7095,0.0,
180,-5.9503789,39.9310836,9.227,3.427,10.408,0.7562,0.9778,False,,,unavailable,0.8055,high,1.0,0.8433,0.5344,0.0,
181,-5.9495093,39.9310804,30.406,6.222,21.541,0.6861,0.8631,False,,,unavailable,0.5145,medium,0.8234,0.0,0.6583,0.0,
182,-5.9489777,39.9310807,11.533,3.832,11.323,0.6372,1.0,False,,,unavailable,0.8553,high,1.0,0.8611,0.676,0.0,
183,-5.950244,39.9310763,7.759,3.143,10.486,0.5627,0.8409,False,,,unavailable,0.7555,high,0.8867,0.7709,0.5828,0.0,
184,-5.9494054,39.9310698,9.646,3.505,10.787,0.6138,0.9583,False,,,unavailable,0.6883,medium,1.0,0.48,0.5227,0.0,
185,-5.9507471,39.9310666,8.807,3.349,10.519,0.6527,0.913,False,,,unavailable,0.8722,high,1.0,0.9796,0.6116,0.0,
186,-5.9508603,39.9310545,9.017,3.388,10.676,0.2648,0.8958,False,,,unavailable,0.8437,high,0.9942,0.9026,0.6044,0.0,
187,-5.9504657,39.9310561,12.162,3.935,11.971,0.6211,0.9508,False,,,unavailable,0.7531,high,1.0,0.6896,0.5204,0.0,
188,-5.9505259,39.9310469,9.017,3.388,11.955,0.6645,0.7963,False,,,unavailable,0.6692,medium,0.7928,0.9197,0.2703,0.0,
189,-5.9498887,39.9310528,7.759,3.143,9.492,0.6542,0.925,False,,,unavailable,0.7811,high,1.0,0.648,0.6516,0.0,
190,-5.9495589,39.9310561,6.081,2.783,8.655,0.7969,0.8788,False,,,unavailable,0.7074,high,1.0,0.5984,0.4655,0.0,
191,-5.9488127,39.9310458,14.259,4.261,16.109,0.5687,0.8,False,,,unavailable,0.7023,high,0.6905,0.9888,0.4299,0.0,
